Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer data,Meteorological observations as transcribed,Cloudy,Fair,Smoke,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other Observations Transcribed
910,1016, APS-275576-053_04,Mss.551.5.M26,275576-53,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-02,sunrise,4:42,SW,SW,74,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,1017, APS-275576-053_04,Mss.551.5.M26,275576-53,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-02,4:00 PM,16:00,S.SW,SSW,84,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,1018, APS-275576-053_05,Mss.551.5.M26,275576-53,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-03,sunrise,4:42,SW,SW,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,1019, APS-275576-053_05,Mss.551.5.M26,275576-53,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-03,4:00 PM,16:00,W,W,82,,,,,,,,James Madison,moderate shower,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
914,1020, APS-275576-053_06,Mss.551.5.M26,275576-53,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,No temperature recorded.,temperature? Wind?,1785-07-04,sunrise,4:42,,,,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,1021, APS-275576-053_06,Mss.551.5.M26,275576-53,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-04,4:00 PM,16:00,NE,NE,83,,,,,,,,James Madison,shower in the night,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
916,1022, APS-275576-053_07,Mss.551.5.M26,275576-53,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-05,sunrise,4:43,SW,SW,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,1023, APS-275576-053_07,Mss.551.5.M26,275576-53,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-05,4:00 PM,16:00,S,S,80,,,,,,,,James Madison,showery,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,y,,,,Harvest of Wheat begun
918,1024, APS-275576-053_08,Mss.551.5.M26,275576-53,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-06,sunrise,4:43,S,S,77,,,,,,,,James Madison,foggy,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
919,1025, APS-275576-053_08,Mss.551.5.M26,275576-53,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-06,4:00 PM,16:00,NW,NW,87,,,,,,,,James Madison,moderate shower,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
920,1026, APS-275576-053_09,Mss.551.5.M26,275576-53,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-07,sunrise,4:43,W,W,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,1027, APS-275576-053_09,Mss.551.5.M26,275576-53,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-07,4:00 PM,16:00,SW,SW,86,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1028, APS-275576-053_10,Mss.551.5.M26,275576-53,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-08,sunrise,4:44,SW,SW,80,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1029, APS-275576-053_10,Mss.551.5.M26,275576-53,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-08,4:00 PM,16:00,NE,NE,86,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,1030, APS-275576-053_11,Mss.551.5.M26,275576-53,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-09,sunrise,4:44,SE,SE,80,,,,,,,,James Madison,fair. Between 1 & 2:00 PM light shower,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
925,1031, APS-275576-053_11,Mss.551.5.M26,275576-53,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-09,4:00 PM,16:00,N,N,81,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,1032, APS-275576-053_12,Mss.551.5.M26,275576-53,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-10,sunrise,4:45,N,N,74,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,1033, APS-275576-053_12,Mss.551.5.M26,275576-53,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-10,4:00 PM,16:00,E.SE,ESE,81,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,1034, APS-275576-053_13,Mss.551.5.M26,275576-53,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-11,sunrise,4:45,S.SW,SSW,75,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,1035, APS-275576-053_13,Mss.551.5.M26,275576-53,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-11,4:00 PM,16:00,S.SW,SSW,85,,,,,,,,James Madison,From 8 to 9:00 PM lightning almost without interruption & without thunder just above horizon E,,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
930,1036, APS-275576-053_14,Mss.551.5.M26,275576-53,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-12,sunrise,4:46,N,N,72,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,1037, APS-275576-053_14,Mss.551.5.M26,275576-53,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-12,4:00 PM,16:00,N.NE,NNE,76,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,1038, APS-275576-053_15,Mss.551.5.M26,275576-53,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-13,sunrise,4:46,W,W,72,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,1039, APS-275576-053_15,Mss.551.5.M26,275576-53,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,"Availability of Produce "cymling" likely refers to summer squash with scalloped edge (see Webster's Dictionary). Setting Wind Direction in standard notation.""vailability of Produce "cymling" likely refers to summer squash with scalloped edge (see Webster's Dictionary). Setting Wind Directi""ailability of Produce "cymling" likely refers to summer squash with scalloped edge (see Webster's Dictionary""ilability of Produce "cymling" likely refers to summer squash with scalloped edge (se""lability of Produce "cymling" likely refers to summer squash wi""ability of Produce "cymling" likely refers""bility of Produce "cym""ili",""Cymling": Webster's Dictionary: summer squash having a scalloped edge""Cymling": Webster's Dictionary: summer squash having a scalloped edge""ymling": Webster's Dictionary: summer squash having a scallop""mling": Webster's Dictionary: summer squash having a s""ling": Webster's Dictionary: summer squash havin""ing": Webster's Dictionary: summer squash h""ng": Webster's Dictionary: summer squas""g": Webster's Dictionary: summer squ""": Webster's Dictionary: summer sq"": Webster's Dictionary: summer sq",1785-07-13,4:00 PM,16:00,W by S,SW,78,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,y,,,,,,y,,,Cimblings first at table
934,1040, APS-275576-053_16,Mss.551.5.M26,275576-53,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-14,sunrise,4:47,W.SW,WSW,73,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,1041, APS-275576-053_16,Mss.551.5.M26,275576-53,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-14,4:00 PM,16:00,E,E,80,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,y,,,,,,y,,,Cucumbers first at table
936,1042, APS-275576-053_17,Mss.551.5.M26,275576-53,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-15,sunrise,4:48,S,S,73,,,,,,,,James Madison,somewhat cloudy 7:00 AM dash of rain,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
937,1043, APS-275576-053_17,Mss.551.5.M26,275576-53,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-15,4:00 PM,16:00,NE,NE,78,,,,,,,,James Madison,fine shower from NE,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
938,1044, APS-275576-053_18,Mss.551.5.M26,275576-53,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-16,sunrise,4:48,W,W,72,,,,,,,,James Madison,foggy,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
939,1045, APS-275576-053_18,Mss.551.5.M26,275576-53,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-16,4:00 PM,16:00,S.SW,SSW,80,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,1046, APS-275576-053_19,Mss.551.5.M26,275576-53,19,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-17,sunrise,4:49,SW,SW,72,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,1047, APS-275576-053_19,Mss.551.5.M26,275576-53,19,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,""Sawyer" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry on the 27th of July."""Sawyer" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry on the 27th of July."""awyer" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry on the 27th of ""wyer" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry on the 27t""yer" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry on the""er" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry on ""r" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry o""" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry "" from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: "The green insect known in the U' States by the name of the sawyer or chittediddle was first heard to cry ""from 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Monochamus confusor " that infest dead trees  also the katydid. L & Clark Expedition: Vol VI (1905) 127: """rom 'A Dictionary of Americanisms': The larva of any one of various large beetles  as the pine sawyer  "Mo""om",1785-07-17,4:00 PM,16:00,S.SW,SSW,79,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,appearance of Sawyers first noted
942,1048, APS-275576-053_20,Mss.551.5.M26,275576-53,20,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-18,sunrise,4:49,NW,NW,73,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,1049, APS-275576-053_20,Mss.551.5.M26,275576-53,20,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-18,4:00 PM,16:00,N.NE,NNE,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,1050, APS-275576-053_21,Mss.551.5.M26,275576-53,21,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-19,sunrise,4:50,N,N,68,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,1051, APS-275576-053_21,Mss.551.5.M26,275576-53,21,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-19,4:00 PM,16:00,S.SW,SSW,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,1052, APS-275576-053_22,Mss.551.5.M26,275576-53,22,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-20,sunrise,4:51,S,S,72,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,1053, APS-275576-053_22,Mss.551.5.M26,275576-53,22,https://diglib.amphilsoc.org/islandora/object/text%3A275576-53,,,1785-07-20,4:00 PM,16:00,S.SW,SSW,78,,,,,,,,James Madison,dash of rain,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
948,1054, APS-275576-055_01,Mss.551.5.M26,275576-55,1,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-21,sunrise,4:51,SW,SW,73,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1055, APS-275576-055_01,Mss.551.5.M26,275576-55,1,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-21,4:00 PM,16:00,W.SW,WSW,79,,,,,,,,James Madison,small thunder cloud W.SW bearing S,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,1056, APS-275576-055_02,Mss.551.5.M26,275576-55,2,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-22,sunrise,4:52,SW,SW,75,,,,,,,,James Madison,Fair. Between 2 & 3:00 thunder shower from NW,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,1057, APS-275576-055_02,Mss.551.5.M26,275576-55,2,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-22,4:00 PM,16:00,W,W,79,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,1058, APS-275576-055_03,Mss.551.5.M26,275576-55,3,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-23,sunrise,4:53,SW,SW,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1059, APS-275576-055_03,Mss.551.5.M26,275576-55,3,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-23,4:00 PM,16:00,SW,SW,79,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,1060, APS-275576-055_04,Mss.551.5.M26,275576-55,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-24,sunrise,4:53,E,E,72,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,1061, APS-275576-055_04,Mss.551.5.M26,275576-55,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-24,4:00 PM,16:00,SW,SW,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,1062, APS-275576-055_05,Mss.551.5.M26,275576-55,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-25,sunrise,4:54,N,N,71,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,1063, APS-275576-055_05,Mss.551.5.M26,275576-55,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-25,4:00 PM,16:00,SW,SW,77,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,1064, APS-275576-055_06,Mss.551.5.M26,275576-55,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-26,sunrise,4:55,SW,SW,74,,,,,,,,James Madison,cloudy 1/2 after 5:00 beginning to rain moderately,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
959,1065, APS-275576-055_06,Mss.551.5.M26,275576-55,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-26,4:00 PM,16:00,E,E,76,,,,,,,,James Madison,"breaking away after a moderate rain, 5:00 shower of rain",,,,,,,,,,y,,,,,,,,,,,,,y,,,,y,,,,,tobacco replanted
960,1068, APS-275576-055_07,Mss.551.5.M26,275576-55,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-28,sunrise,4:57,S.SW,SSW,76,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,1069, APS-275576-055_07,Mss.551.5.M26,275576-55,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-28,4:00 PM,16:00,S,S,85,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,1070, APS-275576-055_08,Mss.551.5.M26,275576-55,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-29,sunrise,4:58,NW,NW,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,1071, APS-275576-055_08,Mss.551.5.M26,275576-55,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-29,4:00 PM,16:00,NW,NW,79,,,,,,,,James Madison,"somewhat cloudy, 5:00 small shower",y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
964,1072, APS-275576-055_09,Mss.551.5.M26,275576-55,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-30,sunrise,4:58,NW,NW,67,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,1073, APS-275576-055_09,Mss.551.5.M26,275576-55,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-30,4:00 PM,16:00,NE,NE,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,1074, APS-275576-055_10,Mss.551.5.M26,275576-55,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-31,sunrise,4:59,E,E,67,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,1075, APS-275576-055_10,Mss.551.5.M26,275576-55,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-07-31,4:00 PM,16:00,SW,SW,77,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,1076, APS-275576-055_10,Mss.551.5.M26,275576-55,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-01,sunrise,5:00,SW,SW,70,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,1077, APS-275576-055_11,Mss.551.5.M26,275576-55,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,Setting Wind Direction in standard notation.,,1785-08-01,4:00 PM,16:00,W by S,SW,80,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,1078, APS-275576-055_11,Mss.551.5.M26,275576-55,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-02,sunrise,5:01,S.SW,SSW,72,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,1079, APS-275576-055_12,Mss.551.5.M26,275576-55,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-02,4:00 PM,16:00,S,S,86,,,,,,,,James Madison,fair. 1/2 after 7:00 fine shower,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
972,1080, APS-275576-055_12,Mss.551.5.M26,275576-55,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-03,sunrise,5:02,SW,SW,76,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,1081, APS-275576-055_13,Mss.551.5.M26,275576-55,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-03,4:00 PM,16:00,NE,NE,80,,,,,,,,James Madison,thunder shower passing Seasterly,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,
974,1083, APS-275576-055_13,Mss.551.5.M26,275576-55,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-04,4:00 PM,16:00,N,N,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,1082, APS-275576-055_14,Mss.551.5.M26,275576-55,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-04,sunrise,5:03,NE,NE,71,,,,,,,,James Madison,somewhat cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,1084, APS-275576-055_14,Mss.551.5.M26,275576-55,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-05,sunrise,5:04,SE,SE,72,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1085, APS-275576-055_15,Mss.551.5.M26,275576-55,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-05,4:00 PM,16:00,SE,SE,76,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,1086, APS-275576-055_15,Mss.551.5.M26,275576-55,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-06,sunrise,5:05,SW,SW,74,,,,,,,,James Madison,cloudy. 1/2 past 3:00 PM Thunder cloud passing Sewardly,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1087, APS-275576-055_15,Mss.551.5.M26,275576-55,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-06,4:00 PM,16:00,N,N,83,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,1088, APS-275576-055_16,Mss.551.5.M26,275576-55,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,Setting Wind Direction in standard notation.,,1785-08-07,sunrise,5:06,W by S,SW,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,1089, APS-275576-055_16,Mss.551.5.M26,275576-55,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-07,4:00 PM,16:00,NW,NW,77,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,1090, APS-275576-055_17,Mss.551.5.M26,275576-55,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-08,sunrise,5:07,N,N,62,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,1091, APS-275576-055_17,Mss.551.5.M26,275576-55,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-08,4:00 PM,16:00,NE,NE,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,1092, APS-275576-055_18,Mss.551.5.M26,275576-55,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-09,sunrise,5:08,N,N,64,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,1093, APS-275576-055_18,Mss.551.5.M26,275576-55,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-09,4:00 PM,16:00,S.SE,SSE,78,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,1094, APS-275576-055_19,Mss.551.5.M26,275576-55,19,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-10,sunrise,5:09,SW,SW,67,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,1095, APS-275576-055_19,Mss.551.5.M26,275576-55,19,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-10,4:00 PM,16:00,SW,SW,84,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,1096, APS-275576-055_20,Mss.551.5.M26,275576-55,20,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-11,sunrise,5:10,NW,NW,73,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,1097, APS-275576-055_20,Mss.551.5.M26,275576-55,20,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-11,4:00 PM,16:00,SW,SW,84,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,1098, APS-275576-055_21,Mss.551.5.M26,275576-55,21,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-12,sunrise,5:11,E,E,72,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,1099, APS-275576-055_21,Mss.551.5.M26,275576-55,21,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-12,4:00 PM,16:00,S,S,82,,,,,,,,James Madison,sky muddy,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
992,1100, APS-275576-055_22,Mss.551.5.M26,275576-55,22,https://diglib.amphilsoc.org/islandora/object/text%3A275576-55,,,1785-08-13,sunrise,5:12,S,S,75,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
